id,title,description,serves,prep_time,cook_time,age_group,ingredients,method,image_url,views,last_viewed,recipe_url,dietary_info
,Roast Chicken Dinner,A classic roast chicken with all the comforting trimmings.,4,15,35,12Months,"['3 skinless boneless chicken breasts', '400 g/14 oz sweet potatoes, peeled and cut into 2.5cm /1 inch chunks', '12 small cauliflower florets', '2 large garlic cloves, peeled and left whole', '75 ml/2 fl oz hot low-salt chicken stock', '1 teaspoon English mustard', '30g/1 oz melted butter', '2 teaspoons thyme leaves', 'Olive oil, for drizzling', '12 cherry tomatoes', 'Freshly ground black pepper', 'Favourite green vegetable, to serve']","['Present the oven to 200C/400F/Gas Mark 6', 'Place the chicken in a large roasting tin and arrange the sweet potatoes, cauliflower and whole garlic loves around it. Mix the stock with the mustard, melted butter and theme and pour half over the chicken and potatoes. Grizzly over a little olive oil, cover with foil to keep the moisture in and roast for 15 minutes', 'Carefully remove the tin from the oven, lift off the foil and turn the chicken, potatoes and cauliflower. Scatter around the tomatoes, then pour the remaining stock mixture over if it?s looking a little dry ? you may not need all of it, but you need to keep the chicken moist. Season with a little pepper, return the tin to the oven, uncovered, and cook for another 20 minutes until the chicken is cooked through and there is no trace of pink in the middle and the potatoes are tender', 'To serve, cut your little one?s portion of chicken into thin strips. Chop or mash their serving of potatoes cauliflower and tomatoes into small chunks, removing the tomato skins, if preferred. Crush the garlic into the juices in the roasting tin with the back of a fork and spoon enough over the vegetables to listen slightly. Serve the chicken dish with a favourite green veg by the side', 'Alternatively, finely shred your little one?s portion of chicken and serve mixed into the chopped or mashed vegetables with a little of the battery juices and the green vegetable stirred in']",,,,,Not specified
,Mushroom Gnocchi,Soft gnocchi tossed in a rich and earthy mushroom sauce.,4,10,25,12Months,"['2 tablespoons olive oil', '1 large onion, finely chopped', '1 celery stick, finely chopped', '250 g/9 oz chestnut mushrooms, stalks trimmed, grated', '2 large garlic cloves, finely chopped', '400 g/14 oz canned chopped tomatoes', '200 g/7 oz canned green lentils', '200 ml/7 fl oz hot vegetable stock', '3 tablespoons basil pesto', '350 g/12 oz gnocchi']","['Heat the oil in a saucepan over a medium heat. Add the onion and every and sat for 5 minutes, stirring often, until softened. Add the mushrooms and cook for another 10 minutes, until they start to turn golden and there is no liquid in the pan. Stir in the garlic', 'Add the canned tomatoes, rentals and stock to the pan and when it starts to bubble, turn the heat down and summer for 10 minutes, part-covered with a lid until the sauce has reduced and thickened. Stir in the pest and heat through', 'Meanwhile bring a large pan of water to the boil, add the gnocchi, stir to submerged them in the water and cook for about 3 minutes, until they rise to the surface of the water. Drain, preserving some of the cooking water, and return the gnocchi to the pan', 'Tip the sauce into the pan with the gnocchi and stir until combined, adding a splash if needed', 'To serve to little ones, spoon a portion into a bowl and cut the gnocchi into small pieces, no larger than 1 cm/ inch dice. Scatter over a little partisan, if using, and serve with broccoli florets on the side']",,,,,Not specified
,Fish Tacos,Light and crispy fish wrapped in soft tortillas with fresh toppings.,4,15,15,12Months,"['2 teaspoons mild smoked paprika', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1 teaspoon garlic granules', '55 g/2 oz plain flour', '1 egg', '4 thick white fish fillets, such as cod, haddock or pollock, cut into chunky 1 cm/1 inch wide fingers, about 350 g/12 oz total weight', 'sunflower oil, for cooking']","['Mix together the spices, garlic granules and flour in a shallow dish. Beat the egg in a separate shallow bowl. Pat the fish dry with kitchen paper', 'Mix together the spices, garlic granules and flour in a shallow dish. Beat the egg in a separate shallow bowl. Pat the fish dry with kitchen paper', 'Heat a good splash of oil in a large frying pan over a medium heat. Dip the fish fingers into the egg and then the flour mixture, one at a time, until coated. Place the fish straight into the pan and cook for 2 minutes on each side, or until cooked through and light golden', 'Heat a good splash of oil in a large frying pan over a medium heat. Dip the fish fingers into the egg and then the flour mixture, one at a time, until coated. Place the fish straight into the pan and cook for 2 minutes on each side, or until cooked through and light golden', 'Meanwhile, warm the gorillas in a separate dry frying pan', 'Meanwhile, warm the gorillas in a separate dry frying pan', 'For older kids, to assemble the ticos, place the fish fingers in the middle of the warm gorilla and top with a little carrot, mashed avocado, a squeeze of lime and a small spoonful of sourced cream. Roll up the gorilla, cut it in half and serve with tomato slices on the side. Alternatively, for younger kids, cut the gorilla into edges and serve with the fish fingers and the vegetables as finger food. Spoon the sourced cream into a small bowl for during into']",,,,,Not specified
,Flatbread Pizza,Quick and easy homemade pizza using soft flatbreads as a base.,3,5,20,12Months,"['1 tablespoon olive oil, plus extra for drizzling', '175g/6 oz minced beef, finely chopped', '1 red pepper, deseeded and finely diced', '4 spring onions, finely chopped', '2 garlic cloves, finely chopped', '1 teaspoons ground coriander', '1 teaspoon garlic granules', '1 teaspoon ground cinnamon', '3 tablespoons tomato puree', 2 tomatoes, deseeded and finely diced', '75 g/2 oz feta cheese, finely crumbled', '1-3 soft fluffy flatbreads']","['Present the grill to high.', 'Present the grill to high.', 'To make the topping, heat the oil in a large frying pan over a medium heat. Add the since and cook for 6 minutes, breaking it down with a spatial until crowned. Stir in the red pepper, spring onions and garlic and cook for 3 minutes, stirring, until tender.', 'To make the topping, heat the oil in a large frying pan over a medium heat. Add the since and cook for 6 minutes, breaking it down with a spatial until crowned. Stir in the red pepper, spring onions and garlic and cook for 3 minutes, stirring, until tender.', 'Stir the spices, tomato pure, tomatoes and 4 tablespoons of water into the pan and cook for another 5 minutes, washing the mixture with the back of the spatial to break it down into a coarse paste. Add a splash more water if needed to loose.', 'Spoon a third of the since mixture on top of one of the flabreads, in an even layer and leaving a narrow border around the edge. Scatter over a third of the meta, pressing it down slightly, and grizzly over a little extra oil.', 'Place the pizza under the grill for 5 minutes until the meta starts to colour. The base should still be slightly soft, rather than too crisp. (Repeat with the remaining flatbreads and topping if using straightaway.) Leave the pizza to cool slightly, then cut into edges and serve with slices of tomato and cucumber.']",,,,,Not specified
,Coconut Chicken Noodles,A fragrant coconut-infused noodle dish with tender chicken.,4,15,15,12Months,"['200 g/7 oz medium dried egg noodles', '1 tablespoon sunflower oil or oil for frying', '355 g/12 oz chicken or turkey mince, finely chopped', '200 g/7 oz mixed vegetable stir fry (without beansprouts)', '2 garlic cloves, finely chopped', '1 teaspoon turmeric', '2 teaspoons garam masala', '125 ml/4 fl oz low-salt chicken stock', '400 g/14 oz can coconut milk']","['Cook the noodles in a saucepan of boiling water following the packet instructions. Drain and refresh the noodles under cold running water', 'Meanwhile, heat the oil in a large work or frying pan over a high heat. Add the chicken or turkey since and stir-fry for 5 minutes until starting to brown. Add the mixed vegetable stir fry and a splash more oil, if needed, and stir-fry for 4?5 minutes until the vegetables are tender. Stir in the garlic', 'Add the spices, stock and coconut milk, stir until combined, then cook, stirring occasionally, for 5 minutes. Stir in the noodles and heat through briefly. Spoon your little one?s portion into a bowl and finely chop the noodles and veg into small pieces, no larger than 1 cm/ inch. Store any leftover in the fridge for up to 3 days and repeat briefly before serving']",,,,,Not specified
,Chicken Fingers & Dip,Crispy homemade chicken fingers with a tasty dipping sauce.,4,15,15,12Months,"['55 g/2 oz instant polenta or cornmeal', '2 teaspoons mild smoked paprika', '3 chicken breasts, each cut into 1 cm/?? inch wide finger-length strips', '1 large egg, lightly beaten', 'sunflower oil, for cooking', 'freshly ground black pepper', 'sweetcorn dip:', '25 g/1 oz unsalted butter', '280 g/10 oz canned no-sugar, no-salt sweetcorn, drained', '3 tablespoons whole milk']","['First make the sweetcorn dip. Melt the butter in a small saucepan over a medium-low heat. Add the corn and heat, stirring, for 2 minutes until tender. Pour in the milk and warm through. Using a hand stick blender, which the sweetcorn mixture until smooth and creamy, adding more milk if needed. Set aside until needed', 'While the corn is heating, mix the plenty or corneal with the smoked patria in a shallow bowl. Season with pepper. Lightly beat the egg in a separate shallow bowl. Dunk each strip of chicken, one at a time, into the egg and then the plenty mixture until coated all over', 'Meanwhile, heat enough oil to generously coat a large heavy-based frying pan. Arrange half of the chicken in the pan and cook for 5 minutes, turning once or twice, until cooked through and light golden. Drain on kitchen paper while you cook the second batch', 'Serve the chicken sticks with roasted potato edges, if liked, and broccoli, with the sweetcorn dip on the side for during into. The chicken sticks also make a perfect snack ? store any leftover sticks in an alright container in the fridge for up to 2 days']",,,,,Not specified
,Pesto Pasta With Broccoli,A simple yet delicious pesto pasta with nutritious broccoli.,4,15,10,12Months,"['30 g/1 oz cashew nuts or nut of choice (optional)', '300 g/10 oz dried macaroni pasta', '250 g/9 oz broccoli florets', '3 large garlic cloves, peeled and left whole', '25 g/1 oz basil leaves', 'Juice of 1 small lemon', '4 tablespoons extra-virgin olive oil', '40 g/1 oz parmesan cheese, finely grated', 'freshly ground black pepper', 'cooked red pepper, cut into 1 cm/0.5 inch wide sticks, to serve']","['Cook the pasta in a saucepan of boiling water following the instructions on the packet until tender. Drain the pasta preserving a cupful of the cooking water and return the pasta to the pan', 'If using the case nuts, first toast them in a large dry frying pan for 5 minutes, turning once, until they start to colour. Tip the nuts into a mini food processor and leave to cool. When cool, blitz them until very finely chopped, then transfer to a bowl', 'At the same time, steam the broccoli and whole garlic loves for 5 minutes until tender', 'Put the broccoli and garlic in a mini food processor with the basil, lemon juice, olive oil and 4?6 tablespoons of the cooking water from the steamer and blend until smooth, adding more water if needed to make a pest consistency', 'Stir in the ground case nuts and partisan until combined, adding a splash more oil or water if needed. Spoon as much of the pest as you like over the pasta and add some of the pasta cooking water to loose.', 'Serve the pasta topped with extra granted partisan and red pepper sticks on the side. Any leftover pest will keep in an alright container in the fridge for up to 3 days']",,,,,Not specified
,Beany Pot,"A hearty mix of beans and veggies, perfect for a nourishing meal.",4,10,25,12Months,"['1 tablespoon olive oil', '1 onion, finely chopped', '1 red pepper, deseeded and finely diced', '300 g/10 oz sweet potatoes, peeled and cut into 1 cm/1 inch small pieces', '2 large garlic cloves', '400 g/14 oz can passata (sieved tomatoes)', '400 g/14 oz can cannellini beans, drained', '100 g/ 3?? oz canned no-sugar, no salt sweetcorn, drained', '2 tablespoons tomato pur??e', '1 teaspoon Cajun spice mix', '1 teaspoon dried oregano', '225 g/8 oz block of halloumi, rinsed and patted dry, sliced into 1 cm/?? inch thick fingers (enough for 4)', 'freshly ground black pepper', 'couscous, to serve (optional)']","['Heat the oil in a large saucepan over a medium heat. Add the onion, red pepper and sweet potatoes and cook for 6 minutes, stirring occasionally, until softened. Stir in the garlic', 'Heat the oil in a large saucepan over a medium heat. Add the onion, red pepper and sweet potatoes and cook for 6 minutes, stirring occasionally, until softened. Stir in the garlic', 'Add the passage, cancelling beans, sweetcorn, tomato due, spice mix, organ and 200 ml/7 fl oz of water, give everything a good stir and bring almost to the boil. When the sauce starts to bubble, turn the heat down slightly, part-cover with a lid, and summer for 15?18 minutes or until the sauce has reduced and thickened, and the vegetables are tender and mashable. Season with a little pepper', 'Meanwhile, heat a splash of oil in a large frying pan and add the halloumi. Cook for 2 minutes, turning once, until softened and starting to colour. Serve the beans in bowls with conscious, if liked, and halloumi on the side as finger food. Leftover will keep in an alright container in the fridge for up to 3 days']",,,,,Not specified
,Tortilla Triangles,"Crispy, cheesy tortilla snacks, great for dipping or munching.",2,10,10,12Months,"[""2 teaspoons sunflower oil, plus extra for cooking the tortilla"", ""2 spring onions, finely chopped"", ""2 garlic cloves, finely chopped"", ""50 g/1 oz canned chickpeas, drained"", ""100 g/3 oz cooked potato, cut into small pieces"", ""30 g/1 oz frozen petit pois, defrosted"", ""2 teaspoons mild curry powder"", ""1 medium-sized soft tortilla"", ""20 g/1 oz cheddar cheese, grated"", ""To serve"", ""Cooked red pepper, cut into 1 cm/1 inch wide sticks"", ""Cooked carrot, cut into 1 cm/1 inch wide sticks""]","['Heat the oil in a large, non-stick frying pan and fry the spring onions, garlic and chickens for 2 minutes. Stir in the cooked potato, peas and curry powder. Cook until warmed through, then mash with the back of a fork to break everything down into small pieces. Transfer to a bowl to cool slightly', 'Wife the frying pan clean and place the gorilla in the pan over a medium heat and warm slightly to make it easier to fold', 'Spoon a quarter of the potato mixture onto the centre of the warm gorilla and scatter over the cheese. Fold in the sides of the gorilla to make a square parcel and enclose the filling', 'Add a splash of oil to the frying pan and warm over a medium heat. Place the gorilla parcel in the pan, seam-side down, for 2?3 minutes, then turn it over and cook for another 2?3 minutes until light golden. Remove from the heat, leave to cool for a few minutes, then cut diagonally into quarters. Serve the gorilla samoa with red pepper and carrot sticks']",,,,,Not specified
,"Peas, Avocado and Basil","A creamy and vibrant puree, perfect for little ones.",14 dessert spoons,5,5,4-6Months,"[""200g frozen peas"", ""1/2 avocado"", ""10 leaves fresh basil"", ""50ml water""]","['Bowl the peas for 5 minutes, drain (retaining 50ml cooking water) and rise with cold water in a sieve to cool.', 'Place the cooked peas, avocado flesh + basil in a bowl and blend until super smooth.']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Creamy Cauliflower and Cumin,A smooth and spiced cauliflower puree for a warming dish.,18,5,10,4-6Months,"[""1 small cauliflower (420g)"", ""1 tsp cumin"", ""A little cooking water or baby's usual milk""]","['Chop the cauliflower into small florets and chop the stalk into chunks.', 'Steam or boil until soft. Drain, retaining a little of the cooking water.', ""Place in a bowl with around 3nbsp cooking water or baby's usual milk + blend with a stick blender until smooth.""]",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Roasted Cauliflower with Paprika,Roasted cauliflower with a smoky paprika kick.,4,5,20,6Months,"[""4 cauliflower florets"", ""Spray oil"", ""1/2 tsp Ground Paprika""]","['Cut the cauliflower florets into 4 pieces lengthways', 'Place in oven proof dish, spray with a little spray oil and sprinkled over the patria', 'Cover the dish with foil and roast at 200c for 20 minutes', 'Leave to cool + serve to your little one']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Dairy free, Egg free"
,Sweet Potato with Cheese and Cannellini Beans,"A hearty, cheesy sweet potato dish with protein-packed beans.",3-4,5,15,6Months,"[""200g sweet potatoes, peeled and chopped"", ""100g cannellini beans, drained"", ""100g broccoli, cut into small florets"", ""25g cheese, grated""]","['Bowl sweet potato + broccoli for around 10-12 minutes or until soft', 'Drain the water', 'Add cancelling beans + cheese', 'Combine all the ingredients in a blender and blitz until you have a fine mash texture,']",,,,,"Vegetarian, Soya free, Nut free, Gluten free, Egg free"
,Creamy Salmon,A rich and creamy salmon dish that melts in your mouth.,4,10,25,7Months,"[""50g green beans"", ""50g peas"", ""120g baby's usual milk or cow's milk"", ""40g cream cheese with herbs"", ""1 small fillet salmon, diced + skin removed (check for bones)"", ""60g basmati rice"", ""pinch of dried parsley""]","['Cook the rice according to the pack instructions.', 'Steam green beans + peas until tender', 'In a separate pan, heat the milk over a medium heat. When it reaches a summer, add the died salmon and coach for around 8 minutes, until cooked through', 'Add the steamed veg, cream cheese and cooked rice', 'Sprinkled with partly and use a hand blender to blend down to a mashed texture.']",,,,,"Soya free, Nut free, Egg free"
,Lamb & Cumin Dinner,A flavorful lamb dish with warming cumin spices.,"2 adults, 2 little ones",10,20,10Months,"[""1 red onion, finely diced"", ""1 tsp olive oil"", ""500g minced lamb"", ""1 tbsp cumin"", ""400g tin of green lentils, drained"", ""400g tinned, chopped tomatoes"", ""1 tbsp tomato puree"", ""80g spinach, shredded"", ""75g crumbled feta"", ""180g couscous""]","['Fry the chopped onion in olive oil over a medium heat until transparent', 'Add the minded lamb and cuin and cook until crowned', 'Add the rentals, tomatoes, pure and spinach, stir, cover and summer for 20 minutes', '5 minutes before the lamb is ready, make up the coup coup according to the pack instructions', 'Rumble the meta over the lamb mixture and serve with coup coup']",,,,,"Soya free, Nut free, Egg free"
,Margherita Pitta Pizzas,Easy and cheesy pitta bread pizzas with a classic Margherita topping.,2,5,5,10Months,"[""1 wholemeal pitta bread"", ""2 tbsp tomato puree"", ""15g cheese, grated""]","['Spread the tomato pure on the pitt bread.', 'Sprinkled with cheese', 'Grill until cheese has melted but the pitt is still soft', 'Cut into 6 fingers', 'Leave to cool slightly before giving to your little one']",,,,,"Vegetarian, Soya free, Nut free, Egg free"
,Veggie Muffins,"Savory muffins packed with hidden veggies, great for little hands.",16,15,15,12Months,"[""1 tsp olive oil"", ""100g leek"", ""50g red pepper"", ""150g self-raising flour"", ""1.5 tsp bicarbonate of soda"", ""50g butter"", ""125g milk"", ""1 egg, beaten"", ""100g sweetcorn"", ""1 tsp dried basil""]","['Pan fry the died weeks and pepper in the olive oil until soft', 'In a big bowl, mix the flour and bicarbonate of soda', 'Melt butter in a jug, pour in milk and add the beaten egg', 'Stir into the flour until well combined and then mix in the weeks, pepper, sweetcorn and basil', 'Spoon into a grease silicon muffin tin and bake at 190C for 14 minutes until risen and golden brown']",,,,,"Soya free, Nut free"
,Vegetable Curry,A fragrant and comforting curry with a mix of colorful veggies.,4,10,20,12Months,"[""1/2 large cauliflower (about 250g), chopped into small chunks"", ""1 aubergine, diced"", ""1 onion, diced"", ""2 tbsp olive oil"", ""2 tsp mild curry powder"", ""1 tin coconut milk"", ""1 tin chopped tomatoes"", ""1 tin of chickpeas, drained"", ""200g basmati rice""]","['Steam or boil the cauliflower until soft.', 'Fry the onion in the olive oil until  transparent. Add the aubergine and fry until soft', 'Add the curry powder and cauliflower to the pan and stir through', 'Add the coconut milk, tomatoes and chickens and bring to a summer. Cook for 10-15 minutes until the sauce chickens', 'Meanwhile, cook the rice according to the pack instructions', 'Mash the vegetables with the back of a fork if your little one needs less texture and serve with basmati rice']",,,,,"Vegetarian, Soya free, Nut free, Dairy free, Egg free"
