id,title,description,serves,prep_time,cook_time,age_group,ingredients,method,url,image_url
11,"Winner Winner, Roast Chicken Dinner","A take on the classic Sunday roast chicken, all in one pan!",4,15,35,12Months,"['3 skinless boneless chicken breasts', '400 g/14 oz sweet potatoes, peeled and cut into 2.5cm /1 inch chunks', '12 small cauliflower florets', '2 large garlic cloves, peeled and left whole', '75 ml/2½fl oz hot low-salt chicken stock', '1 teaspoon English mustard', '30g/1 oz melted butter', '2 teaspoons thyme leaves', 'Olive oil, for drizzling', '12 cherry tomatoes', 'Freshly ground black pepper', 'Favourite green vegetable, to serve']","['Preheat the oven to 200°C/400°F/Gas Mark 6', 'Place the chicken in a large roasting tin and arrange the sweet potatoes, cauliflower and whole garlic cloves around it. Mix the stock with the mustard, melted butter and thyme and pour half over the chicken and potatoes. Drizzle over a little olive oil, cover with foil to keep the moisture in and roast for 15 minutes', 'Carefully remove the tin from the oven, lift off the foil and turn the chicken, potatoes and cauliflower. Scatter around the tomatoes, then pour the remaining stock mixture over if it’s looking a little dry – you may not need all of it, but you need to keep the chicken moist. Season with a little pepper, return the tin to the oven, uncovered, and cook for another 20 minutes until the chicken is cooked through and there is no trace of pink in the middle and the potatoes are tender', 'To serve, cut your little one’s portion of chicken into thin strips. Chop or mash their serving of potatoes cauliflower and tomatoes into small chunks, removing the tomato skins, if preferred. Crush the garlic into the juices in the roasting tin with the back of a fork and spoon enough over the vegetables to moisten slightly. Serve the chicken dish with a favourite green veg by the side', 'Alternatively, finely shred your little one’s portion of chicken and serve mixed into the chopped or mashed vegetables with a little of the buttery juices and the green vegetable stirred in']",https://www.ellaskitchen.co.uk/recipes/winner-winner-roast-chicken-dinner,
12,Mighty Mushroom Gnocchi,This mighty mushroom bolognese + gnocchi recipe is perfect for all the family to dive into!,4,10,25,12Months,"['2 tablespoons olive oil', '1 large onion, finely chopped', '1 celery stick, finely chopped', '250 g/9 oz chestnut mushrooms, stalks trimmed, grated', '2 large garlic cloves, finely chopped', '400 g/14 oz canned chopped tomatoes', '200 g/7 oz canned green lentils', '200 ml/7 fl oz hot vegetable stock', '3 tablespoons basil pesto', '350 g/12 oz gnocchi']","['Heat the oil in a saucepan over a medium heat. Add the onion and celery and sauté for 5 minutes, stirring often, until softened. Add the mushrooms and cook for another 10 minutes, until they start to turn golden and there is no liquid in the pan. Stir in the garlic', 'Add the canned tomatoes, lentils and stock to the pan and when it starts to bubble, turn the heat down and simmer for 10 minutes, part-covered with a lid until the sauce has reduced and thickened. Stir in the pesto and heat through', 'Meanwhile bring a large pan of water to the boil, add the gnocchi, stir to submerge them in the water and cook for about 3 minutes, until they rise to the surface of the water. Drain, reserving some of the cooking water, and return the gnocchi to the pan', 'Tip the sauce into the pan with the gnocchi and stir until combined, adding a splash if needed', 'To serve to little ones, spoon a portion into a bowl and cut the gnocchi into small pieces, no larger than 1 cm/½ inch dice. Scatter over a little parmesan, if using, and serve with broccoli florets on the side']",https://www.ellaskitchen.co.uk/recipes/mighty-mushroom-gnocchi,
13,Funky fishy tacos,These lightly spiced fish fingers can be popped in a soft warm tortilla with your favorite taco toppings or serve separately as scrummy finger food.,4,15,15,12Months,"['2 teaspoons mild smoked paprika', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1 teaspoon garlic granules', '55 g/2 oz plain flour', '1 egg', '4 thick white fish fillets, such as cod, haddock or pollock, cut into chunky 1 cm/½ inch wide fingers, about 350 g/12 oz total weight', 'sunflower oil, for cooking']","['Mix together the spices, garlic granules and flour in a shallow dish. Beat the egg in a separate shallow bowl. Pat the fish dry with kitchen paper', 'Mix together the spices, garlic granules and flour in a shallow dish. Beat the egg in a separate shallow bowl. Pat the fish dry with kitchen paper', 'Heat a good splash of oil in a large frying pan over a medium heat. Dip the fish fingers into the egg and then the flour mixture, one at a time, until coated. Place the fish straight into the pan and cook for 2 minutes on each side, or until cooked through and light golden', 'Heat a good splash of oil in a large frying pan over a medium heat. Dip the fish fingers into the egg and then the flour mixture, one at a time, until coated. Place the fish straight into the pan and cook for 2 minutes on each side, or until cooked through and light golden', 'Meanwhile, warm the tortillas in a separate dry frying pan', 'Meanwhile, warm the tortillas in a separate dry frying pan', 'For older kids, to assemble the tacos, place the fish fingers in the middle of the warm tortilla and top with a little carrot, mashed avocado, a squeeze of lime and a small spoonful of soured cream. Roll up the tortilla, cut it in half and serve with tomato slices on the side. Alternatively, for younger kids, cut the tortilla into wedges and serve with the fish fingers and the vegetables as finger food. Spoon the soured cream into a small bowl for dunking into']",https://www.ellaskitchen.co.uk/recipes/funky-fishy-tacos,
14,Perfectly Topped Flatbread Pizza,"Perfect for sharing, this super simple pizza has a flatbread base with a marvellously meaty topping.",3,5,20,12Months,"['1 tablespoon olive oil, plus extra for drizzling', '1 tablespoon olive oil, plus extra for drizzling', '175g/6 oz minced beef, finely chopped', '175g/6 oz minced beef, finely chopped', '½ red pepper, deseeded and finely diced', '½ red pepper, deseeded and finely diced', '4 spring onions, finely chopped', '4 spring onions, finely chopped', '2 garlic cloves, finely chopped', '2 garlic cloves, finely chopped', '1½ teaspoons ground coriander', '1½ teaspoons ground coriander', '1 teaspoon garlic granules', '1 teaspoon garlic granules', '¼ teaspoon ground cinnamon', '¼ teaspoon ground cinnamon', '3 tablespoons tomato purée', '3 tablespoons tomato purée', '2 tomatoes, deseeded and finely diced', '2 tomatoes, deseeded and finely diced', '75 g/2½ oz feta cheese, finely crumbled', '75 g/2½ oz feta cheese, finely crumbled', '1–3 soft fluffy flatbreads', '1–3 soft fluffy flatbreads']","['Preheat the grill to high.', 'Preheat the grill to high.', 'To make the topping, heat the oil in a large frying pan over a medium heat. Add the mince and cook for 6 minutes, breaking it down with a spatula until browned. Stir in the red pepper, spring onions and garlic and cook for 3 minutes, stirring, until tender.', 'To make the topping, heat the oil in a large frying pan over a medium heat. Add the mince and cook for 6 minutes, breaking it down with a spatula until browned. Stir in the red pepper, spring onions and garlic and cook for 3 minutes, stirring, until tender.', 'Stir the spices, tomato purée, tomatoes and 4 tablespoons of water into the pan and cook for another 5 minutes, mashing the mixture with the back of the spatula to break it down into a coarse paste. Add a splash more water if needed to loosen.', 'Spoon a third of the mince mixture on top of one of the flabreads, in an even layer and leaving a narrow border around the edge. Scatter over a third of the feta, pressing it down slightly, and drizzle over a little extra oil.', 'Place the pizza under the grill for 5 minutes until the feta starts to colour. The base should still be slightly soft, rather than too crisp. (Repeat with the remaining flatbreads and toppings if using straightaway.) Leave the pizza to cool slightly, then cut into wedges and serve with slices of tomato and cucumber.']",https://www.ellaskitchen.co.uk/recipes/perfectly-topped-flatbread-pizza,
15,Oodles Of Coconut-y Chicken Noodles,"Go coconutt-y with our chicken noodle recipe, packed full of oddles of yummy veggies!",4,15,15,12Months,"['200 g/7 oz medium dried egg noodles', '1 tablespoon sunflower oil or oil for frying', '355 g/12½ oz chicken or turkey mince, finely chopped', '200 g/7 oz mixed vegetable stir fry (without beansprouts)', '2 garlic cloves, finely chopped', '1 teaspoon turmeric', '2 teaspoons garam masala', '125 ml/4½ fl oz low-salt chicken stock', '400 g/14 oz can coconut milk']","['Cook the noodles in a saucepan of boiling water following the packet instructions. Drain and refresh the noodles under cold running water', 'Meanwhile, heat the oil in a large wok or frying pan over a high heat. Add the chicken or turkey mince and stir-fry for 5 minutes until starting to brown. Add the mixed vegetable stir fry and a splash more oil, if needed, and stir-fry for 4–5 minutes until the vegetables are tender. Stir in the garlic', 'Add the spices, stock and coconut milk, stir until combined, then cook, stirring occasionally, for 5 minutes. Stir in the noodles and heat through briefly. Spoon your little one’s portion into a bowl and finely chop the noodles and veg into small pieces, no larger than 1 cm/½ inch. Store any leftovers in the fridge for up to 3 days and reheat briefly before serving']",https://www.ellaskitchen.co.uk/recipes/oodles-of-coconut-y-chicken-noodles,
16,Chick-chick-chicken Fingers + Dunky Dip,These Chick Chick Chicken Fingers make the perfect finger food to dunk into the creamy corn dip.,4,15,15,12Months,"['55 g/2 oz instant polenta or cornmeal', '2 teaspoons mild smoked paprika', '3 chicken breasts, each cut into 1 cm/½ inch wide finger-length strips', '1 large egg, lightly beaten', 'sunflower oil, for cooking', 'freshly ground black pepper', 'sweetcorn dip:', '25 g/1 oz unsalted butter', '280 g/10 oz canned no-sugar, no-salt sweetcorn, drained', '3 tablespoons whole milk']","['First make the sweetcorn dip. Melt the butter in a small saucepan over a medium-low heat. Add the corn and heat, stirring, for 2 minutes until tender. Pour in the milk and warm through. Using a hand stick blender, whizz the sweetcorn mixture until smooth and creamy, adding more milk if needed. Set aside until needed', 'While the corn is heating, mix the polenta or cornmeal with the smoked paprika in a shallow bowl. Season with pepper. Lightly beat the egg in a separate shallow bowl. Dunk each strip of chicken, one at a time, into the egg and then the polenta mixture until coated all over', 'Meanwhile, heat enough oil to generously coat a large heavy-based frying pan. Arrange half of the chicken in the pan and cook for 5 minutes, turning once or twice, until cooked through and light golden. Drain on kitchen paper while you cook the second batch', 'Serve the chicken sticks with roasted potato wedges, if liked, and broccoli, with the sweetcorn dip on the side for dunking into. The chicken sticks also make a perfect snack – store any leftover sticks in an airtight container in the fridge for up to 2 days']",https://www.ellaskitchen.co.uk/recipes/chick-chick-chicken-fingers-dunky-dip,
17,Hey Pesto Pasta With Broccoli,"Hey pesto! In the time your pasta takes to cook, you can make this fresh green pesto, packed with veggies + be ready to feed hungry tums",4,15,10,12Months,"['30 g/1 oz cashew nuts or nut of choice (optional)', '300 g/10½ oz dried macaroni pasta', '250 g/9 oz broccoli florets', '3 large garlic cloves, peeled and left whole', '25 g/1 oz basil leaves', 'Juice of 1 small lemon', '4 tablespoons extra-virgin olive oil', '40 g/1½ oz parmesan cheese, finely grated', 'freshly ground black pepper', 'cooked red pepper, cut into 1 cm/½ inch wide sticks, to serve']","['Cook the pasta in a saucepan of boiling water following the instructions on the packet until tender. Drain the pasta reserving a cupful of the cooking water and return the pasta to the pan', 'If using the cashew nuts, first toast them in a large dry frying pan for 5 minutes, turning once, until they start to colour. Tip the nuts into a mini food processor and leave to cool. When cool, blitz them until very finely chopped, then transfer to a bowl', 'At the same time, steam the broccoli and whole garlic cloves for 5 minutes until tender', 'Put the broccoli and garlic in a mini food processor with the basil, lemon juice, olive oil and 4–6 tablespoons of the cooking water from the steamer and blend until smooth, adding more water if needed to make a pesto consistency', 'Stir in the ground cashew nuts and parmesan until combined, adding a splash more oil or water if needed. Spoon as much of the pesto as you like over the pasta and add some of the pasta cooking water to loosen.', 'Serve the pasta topped with extra grated parmesan and red pepper sticks on the side. Any leftover pesto will keep in an airtight container in the fridge for up to 3 days']",https://www.ellaskitchen.co.uk/recipes/hey-pesto-pasta-with-broccoli,
18,Boing! Boing! Beany Pot,This tomatoe-y sweet potato + beany stew is great served with sticks of halloumi for little fingers to grab.,4,10,25,12Months,"['1 tablespoon olive oil', '1 onion, finely chopped', '1 red pepper, deseeded and finely diced', '300 g/10½ oz sweet potatoes, peeled and cut into 1 cm/½ inch small pieces', '2 large garlic cloves', '400 g/14 oz can passata (sieved tomatoes)', '400 g/14 oz can cannellini beans, drained', '100 g/ 3½ oz canned no-sugar, no salt sweetcorn, drained', '2 tablespoons tomato purée', '1 teaspoon Cajun spice mix', '1 teaspoon dried oregano', '225 g/8 oz block of halloumi, rinsed and patted dry, sliced into 1 cm/½ inch thick fingers (enough for 4)', 'freshly ground black pepper', 'couscous, to serve (optional)']","['Heat the oil in a large saucepan over a medium heat. Add the onion, red pepper and sweet potatoes and cook for 6 minutes, stirring occasionally, until softened. Stir in the garlic', 'Heat the oil in a large saucepan over a medium heat. Add the onion, red pepper and sweet potatoes and cook for 6 minutes, stirring occasionally, until softened. Stir in the garlic', 'Add the passata, cannellini beans, sweetcorn, tomato puée, spice mix, oregano and 200 ml/7 fl oz of water, give everything a good stir and bring almost to the boil. When the sauce starts to bubble, turn the heat down slightly, part-cover with a lid, and simmer for 15–18 minutes or until the sauce has reduced and thickened, and the vegetables are tender and mashable. Season with a little pepper', 'Meanwhile, heat a splash of oil in a large frying pan and add the halloumi. Cook for 2 minutes, turning once, until softened and starting to colour. Serve the beans in bowls with couscous, if liked, and halloumi on the side as finger food. Leftovers will keep in an airtight container in the fridge for up to 3 days']",https://www.ellaskitchen.co.uk/recipes/boing-boing-beany-pot,
19,Toasty Tortilla Triangles,These perfectly packed veggie parcels make four tasty tortilla samosas.,2,10,10,12Months,"['2 teaspoons sunflower oil, plus extra for the cooking the tortilla', '2 spring onions, finely chopped', '2 garlic cloves, finely chopped', '50 g/1¾ oz canned chickpeas, drained', '100 g/3½ oz cooked potato, cut into small pieces', '30 g/1 oz frozen petit pois, defrosted', '2 teaspoons mild curry powder', '1 medium-sized soft tortilla', '20 g/¾ oz cheddar cheese, grated', 'To serve', 'Cooked red pepper, cut into 1 cm/½ inch wide sticks', 'Cooked carrot, cut into 1 cm/½ inch wide sticks']","['Heat the oil in a large, non-stick frying pan and fry the spring onions, garlic and chickpeas for 2 minutes. Stir in the cooked potato, peas and curry powder. Cook until warmed through, then mash with the back of a fork to break everything down into small pieces. Transfer to a bowl to cool slightly', 'Wipe the frying pan clean and place the tortilla in the pan over a medium heat and warm slightly to make it easier to fold', 'Spoon a quarter of the potato mixture onto the centre of the warm tortilla and scatter over the cheese. Fold in the sides of the tortilla to make a square parcel and enclose the filling', 'Add a splash of oil to the frying pan and warm over a medium heat. Place the tortilla parcel in the pan, seam-side down, for 2–3 minutes, then turn it over and cook for another 2–3 minutes until light golden. Remove from the heat, leave to cool for a few minutes, then cut diagonally into quarters. Serve the tortilla samosa with red pepper and carrot sticks']",https://www.ellaskitchen.co.uk/recipes/toasty-tortilla-triangles,
20,Easy PEAsy avocado and basil,Easy peasy!,14 dessert spoons,5,5,4to6Months,"['200g frozen peas', '1/2 avocado', '10 leaves fresh basil', '50ml water']","['Boil the peas for 5 minutes, drain (retaining 50ml cooking water) and rinse with cold water in a sieve to cool.', 'Place the cooked peas, avocado flesh + basil in a bowl and blend until super smooth.']",https://www.ellaskitchen.co.uk/recipes/avocado-basil-baby-puree,
21,Creeeeamy cauliflower and cumin,Grow your own Little Veg Lover!,18,5,10,4to6Months,"['1 small cauliflower (420g)', '1tsp cumin', ""A little cooking water or baby's usual milk""]","['Chop the cauliflower into small florets and chop the stalk into chunks.', 'Steam or boil until soft. Drain, retaining a little of the cooking water.', ""Place in a bowl with around 3tbsp cooking water or baby's usual milk + blend with a stick blender until smooth.""]",https://www.ellaskitchen.co.uk/recipes/cauliflower-cumin-baby-puree,
22,Roasted cauli with pa-pa-paprika!,Don’t be afraid of punchy flavours!,4,5,20,6Months,"['4 cauliflower florets', 'Spray oil', '½ tsp Ground Paprika']","['Cut the cauliflower florets into 4 pieces lengthways', 'Place in oven proof dish, spray with a little spray oil and sprinkle over the paprika', 'Cover the dish with foil and roast at 200c for 20 minutes', 'Leave to cool + serve to your little one']",https://www.ellaskitchen.co.uk/recipes/roasted-cauliflower-paprika-recipe,
23,Smashing sweet potato + cheeesy cannellini beans,Super simple!,3-4,5,15,6Months,"['200g sweet potatoes, peeled and chopped', '100g cannellini beans, drained', '100g broccoli, cut into small florets', '25g cheese, grated']","['Boil sweet potato + broccoli for around 10-12 minutes or until soft', 'Drain the water', 'Add cannellini beans + cheese', 'Combine all the ingredients in a blender and blitz until you have a fine mash texture,']",https://www.ellaskitchen.co.uk/recipes/sweet-potato-cannellini-beans,
24,Under-the-sea Creeeamy Salmon,"A scrummy fishy meal perfect for introducing a texture adventure, packed full of veggies + herbs to tickle tiny taste buds!",4,10,25,7Months,"['50g green beans', '50g peas', ""120g babies usual milk or cow's milk"", '40g cream cheese with herbs', '1 small fillet salmon, diced + skin removed (check for bones)', '60g basmati rice', 'pinch of dried parsley']","['Cook the rice according to the pack instructions.', 'Steam green beans + peas until tender', 'In a separate pan, heat the milk over a medium heat. When it reaches a simmer, add the diced salmon and poach for around 8 minutes, until cooked through', 'Add the steamed veg, cream cheese and cooked rice', 'Sprinkle with parsley and use a hand blender to blend down to a mashed texture.']",https://www.ellaskitchen.co.uk/recipes/creamy-salmon,
25,Zingy lamb + cumin feast,Deeelicious!,"2 adults, 2 little ones",10,20,10Months,"['1 red onion, finely diced', '1 tsp olive oil', '500g minced lamb', '1 tbsp cumin', '400g tin of green lentils, drained', '400g tinned, chopped tomatoes', '1 tbsp tomato puree', '80g spinach, shredded', '75g crumbled feta', '180g cous cous']","['Fry the chopped onion in olive oil over a medium heat until transparent', 'Add the minced lamb and cumin and cook until browned', 'Add the lentils, tomatoes, puree and spinach, stir, cover and simmer for 20 minutes', '5 minutes before the lamb is ready, make up the cous cous according to the pack instructions', 'Crumble the feta over the lamb mixture and serve with cous cous']",https://www.ellaskitchen.co.uk/recipes/lamb-cumin-baby-recipe,
26,Easy cheesy pitta pizzas,Get stuck in!,2,5,5,10Months,"['1 wholemeal pitta bread', '2 tbsp tomato puree', '15g cheese, grated']","['Spread the tomato puree on the pitta bread.', 'Sprinkle with cheese', 'Grill until cheese has melted but the pitta is still soft', 'Cut into 6 fingers', 'Leave to cool slightly before giving to your little one']",https://www.ellaskitchen.co.uk/recipes/cheesy-pitta-pizza-baby-recipe,
